time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2024-01-16 09:30:00-05:00,AITrader,f24345cc7f234db68283f00c81496f21,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-01-16 09:30:00-05:00,AITrader,f24345cc7f234db68283f00c81496f21,SPY,buy,market,fill,1,gtc,0.0,1,stock,475.260009765625,105.0,0.0
2024-01-17 09:30:00-05:00,AITrader,a21b17f449c44704b1f8353af93e9767,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-01-17 09:30:00-05:00,AITrader,a21b17f449c44704b1f8353af93e9767,SPY,buy,market,fill,1,gtc,0.0,1,stock,471.82000732421875,53.0,0.0
2024-01-18 09:30:00-05:00,AITrader,9df98db0522c4a76a0916bb1637a661e,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-01-18 09:30:00-05:00,AITrader,9df98db0522c4a76a0916bb1637a661e,SPY,buy,market,fill,1,gtc,0.0,1,stock,474.010009765625,26.0,0.0
2024-01-19 09:30:00-05:00,AITrader,06137d328c6f417296d64ec754e9aeab,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-01-19 09:30:00-05:00,AITrader,06137d328c6f417296d64ec754e9aeab,SPY,buy,market,fill,1,gtc,0.0,1,stock,477.6499938964844,13.0,0.0
2024-01-22 09:30:00-05:00,AITrader,4e2ba86dd4e64a0bba07fa234397306b,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-01-22 09:30:00-05:00,AITrader,4e2ba86dd4e64a0bba07fa234397306b,SPY,buy,market,fill,1,gtc,0.0,1,stock,484.010009765625,6.0,0.0
2024-01-23 09:30:00-05:00,AITrader,a4d2db6fa90144e8b23a76cfab2f6f5a,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-01-23 09:30:00-05:00,AITrader,a4d2db6fa90144e8b23a76cfab2f6f5a,SPY,buy,market,fill,1,gtc,0.0,1,stock,484.010009765625,3.0,0.0
2024-01-24 09:30:00-05:00,AITrader,820b4b674a8f47848f0468244f781a77,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-01-24 09:30:00-05:00,AITrader,820b4b674a8f47848f0468244f781a77,SPY,buy,market,fill,1,gtc,0.0,1,stock,487.80999755859375,2.0,0.0
2024-01-25 09:30:00-05:00,AITrader,301b76bf4e5f456481457f80d367d01e,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-01-25 09:30:00-05:00,AITrader,301b76bf4e5f456481457f80d367d01e,SPY,buy,market,fill,1,gtc,0.0,1,stock,487.5799865722656,1.0,0.0
