datetime,portfolio_value,cash,return
2024-01-16 09:30:00-05:00,100000.0,100000.0,
2024-01-17 09:30:00-05:00,99638.79974365234,50097.698974609375,-0.0036120025634766018
2024-01-18 09:30:00-05:00,99984.82012939453,25091.23858642578,0.003472747430041556
2024-01-19 09:30:00-05:00,100654.57720947266,12766.978332519531,0.006698587637717024
2024-01-20 09:30:00-05:00,100654.57720947266,6557.528411865234,0.0
2024-01-22 09:30:00-05:00,101907.50033569336,6557.528411865234,0.012447751120281847
2024-01-23 09:30:00-05:00,101907.50033569336,3653.4683532714844,0.0
2024-01-24 09:30:00-05:00,102690.29782104492,2201.4383239746094,0.007681451147098617
2024-01-25 09:30:00-05:00,102642.45553588867,1225.8183288574219,-0.00046588904863853475
2024-01-26 09:30:00-05:00,102644.5475769043,738.2383422851562,2.0381829377580374e-05
2024-01-27 09:30:00-05:00,102644.5475769043,738.2383422851562,0.0
2024-01-29 09:30:00-05:00,102673.81063842773,738.2383422851562,0.0002850912417098339
2024-01-30 09:30:00-05:00,103265.27783203125,738.2383422851562,0.005760643244131725
